category,country,total_deaths
Acute Hepatitis,Afghanistan,98108
Acute Hepatitis,Albania,44
Acute Hepatitis,Algeria,10492
Acute Hepatitis,American Samoa,0
Acute Hepatitis,Andorra,30
Acute Hepatitis,Angola,14431
Acute Hepatitis,Antigua and Barbuda,0
Acute Hepatitis,Argentina,1732
Acute Hepatitis,Armenia,154
Acute Hepatitis,Australia,288
Acute Hepatitis,Austria,98
Acute Hepatitis,Azerbaijan,1385
Acute Hepatitis,Bahamas,9
Acute Hepatitis,Bahrain,106
Acute Hepatitis,Bangladesh,166599
Acute Hepatitis,Barbados,9
Acute Hepatitis,Belarus,775
Acute Hepatitis,Belgium,257
Acute Hepatitis,Belize,11
Acute Hepatitis,Benin,6281
Acute Hepatitis,Bermuda,0
Acute Hepatitis,Bhutan,650
Acute Hepatitis,Bolivia,961
Acute Hepatitis,Bosnia and Herzegovina,161
Acute Hepatitis,Botswana,325
Acute Hepatitis,Brazil,8977
Acute Hepatitis,Brunei,97
Acute Hepatitis,Bulgaria,253
Acute Hepatitis,Burkina Faso,8774
Acute Hepatitis,Burundi,5160
Acute Hepatitis,Cambodia,8616
Acute Hepatitis,Cameroon,16362
Acute Hepatitis,Canada,402
Acute Hepatitis,Cape Verde,215
Acute Hepatitis,Central African Republic,4039
Acute Hepatitis,Chad,14871
Acute Hepatitis,Chile,230
Acute Hepatitis,China,318564
Acute Hepatitis,Colombia,749
Acute Hepatitis,Comoros,331
Acute Hepatitis,Congo,1218
Acute Hepatitis,Cook Islands,0
Acute Hepatitis,Costa Rica,155
Acute Hepatitis,Cote d'Ivoire,8102
Acute Hepatitis,Croatia,45
Acute Hepatitis,Cuba,412
Acute Hepatitis,Cyprus,27
Acute Hepatitis,Czechia,173
Acute Hepatitis,Democratic Republic of Congo,49422
Acute Hepatitis,Denmark,75
Acute Hepatitis,Djibouti,372
Acute Hepatitis,Dominica,1
Acute Hepatitis,Dominican Republic,991
Acute Hepatitis,Ecuador,616
Acute Hepatitis,Egypt,56882
Acute Hepatitis,El Salvador,171
Acute Hepatitis,Equatorial Guinea,255
Acute Hepatitis,Eritrea,3074
Acute Hepatitis,Estonia,21
Acute Hepatitis,Eswatini,263
Acute Hepatitis,Ethiopia,61336
Acute Hepatitis,Fiji,86
Acute Hepatitis,Finland,71
Acute Hepatitis,France,754
Acute Hepatitis,Gabon,380
Acute Hepatitis,Gambia,567
Acute Hepatitis,Georgia,249
Acute Hepatitis,Germany,2446
Acute Hepatitis,Ghana,9465
Acute Hepatitis,Greece,1145
Acute Hepatitis,Greenland,0
Acute Hepatitis,Grenada,6
Acute Hepatitis,Guam,0
Acute Hepatitis,Guatemala,341
Acute Hepatitis,Guinea,11236
Acute Hepatitis,Guinea-Bissau,1749
Acute Hepatitis,Guyana,111
Acute Hepatitis,Haiti,3023
Acute Hepatitis,Honduras,822
Acute Hepatitis,Hungary,125
Acute Hepatitis,Iceland,0
Acute Hepatitis,India,1672179
Acute Hepatitis,Indonesia,231909
Acute Hepatitis,Iran,17350
Acute Hepatitis,Iraq,5952
Acute Hepatitis,Ireland,35
Acute Hepatitis,Israel,177
Acute Hepatitis,Italy,2162
Acute Hepatitis,Jamaica,56
Acute Hepatitis,Japan,6876
Acute Hepatitis,Jordan,424
Acute Hepatitis,Kazakhstan,3037
Acute Hepatitis,Kenya,34762
Acute Hepatitis,Kiribati,100
Acute Hepatitis,Kuwait,55
Acute Hepatitis,Kyrgyzstan,1238
Acute Hepatitis,Laos,3834
Acute Hepatitis,Latvia,183
Acute Hepatitis,Lebanon,4381
Acute Hepatitis,Lesotho,1037
Acute Hepatitis,Liberia,3284
Acute Hepatitis,Libya,1283
Acute Hepatitis,Lithuania,73
Acute Hepatitis,Luxembourg,0
Acute Hepatitis,Madagascar,6929
Acute Hepatitis,Malawi,12214
Acute Hepatitis,Malaysia,6003
Acute Hepatitis,Maldives,37
Acute Hepatitis,Mali,15178
Acute Hepatitis,Malta,0
Acute Hepatitis,Marshall Islands,15
Acute Hepatitis,Mauritania,1105
Acute Hepatitis,Mauritius,34
Acute Hepatitis,Mexico,7297
Acute Hepatitis,Micronesia,18
Acute Hepatitis,Moldova,280
Acute Hepatitis,Monaco,0
Acute Hepatitis,Mongolia,1771
Acute Hepatitis,Montenegro,0
Acute Hepatitis,Morocco,15900
Acute Hepatitis,Mozambique,17322
Acute Hepatitis,Myanmar,17130
Acute Hepatitis,Namibia,309
Acute Hepatitis,Nauru,0
Acute Hepatitis,Nepal,26986
Acute Hepatitis,Netherlands,163
Acute Hepatitis,New Zealand,42
Acute Hepatitis,Nicaragua,283
Acute Hepatitis,Niger,10238
Acute Hepatitis,Nigeria,119860
Acute Hepatitis,Niue,0
Acute Hepatitis,North Korea,7705
Acute Hepatitis,North Macedonia,36
Acute Hepatitis,Northern Mariana Islands,0
Acute Hepatitis,Norway,60
Acute Hepatitis,Oman,1334
Acute Hepatitis,Pakistan,293025
Acute Hepatitis,Palau,0
Acute Hepatitis,Palestine,238
Acute Hepatitis,Panama,110
Acute Hepatitis,Papua New Guinea,2680
Acute Hepatitis,Paraguay,86
Acute Hepatitis,Peru,2001
Acute Hepatitis,Philippines,14501
Acute Hepatitis,Poland,409
Acute Hepatitis,Portugal,356
Acute Hepatitis,Puerto Rico,188
Acute Hepatitis,Qatar,43
Acute Hepatitis,Romania,968
Acute Hepatitis,Russia,3598
Acute Hepatitis,Rwanda,6988
Acute Hepatitis,Saint Kitts and Nevis,0
Acute Hepatitis,Saint Lucia,0
Acute Hepatitis,Saint Vincent and the Grenadines,0
Acute Hepatitis,Samoa,30
Acute Hepatitis,San Marino,0
Acute Hepatitis,Sao Tome and Principe,103
Acute Hepatitis,Saudi Arabia,2156
Acute Hepatitis,Senegal,3470
Acute Hepatitis,Serbia,246
Acute Hepatitis,Seychelles,17
Acute Hepatitis,Sierra Leone,6856
Acute Hepatitis,Singapore,31
Acute Hepatitis,Slovakia,76
Acute Hepatitis,Slovenia,30
Acute Hepatitis,Solomon Islands,388
Acute Hepatitis,Somalia,26233
Acute Hepatitis,South Africa,4701
Acute Hepatitis,South Korea,2035
Acute Hepatitis,South Sudan,6078
Acute Hepatitis,Spain,475
Acute Hepatitis,Sri Lanka,875
Acute Hepatitis,Sudan,67188
Acute Hepatitis,Suriname,41
Acute Hepatitis,Sweden,97
Acute Hepatitis,Switzerland,182
Acute Hepatitis,Syria,1233
Acute Hepatitis,Taiwan,268
Acute Hepatitis,Tajikistan,3740
Acute Hepatitis,Tanzania,19635
Acute Hepatitis,Thailand,8236
Acute Hepatitis,Timor,338
Acute Hepatitis,Togo,3519
Acute Hepatitis,Tokelau,0
Acute Hepatitis,Tonga,175
Acute Hepatitis,Trinidad and Tobago,87
Acute Hepatitis,Tunisia,2836
Acute Hepatitis,Turkey,25245
Acute Hepatitis,Turkmenistan,2759
Acute Hepatitis,Tuvalu,0
Acute Hepatitis,Uganda,10912
Acute Hepatitis,Ukraine,3175
Acute Hepatitis,United Arab Emirates,963
Acute Hepatitis,United Kingdom,680
Acute Hepatitis,United States,5851
Acute Hepatitis,United States Virgin Islands,0
Acute Hepatitis,Uruguay,68
Acute Hepatitis,Uzbekistan,12185
Acute Hepatitis,Vanuatu,103
Acute Hepatitis,Venezuela,1109
Acute Hepatitis,Vietnam,30650
Acute Hepatitis,Yemen,26532
Acute Hepatitis,Zambia,8846
Acute Hepatitis,Zimbabwe,3778
Alcohol Use Disorders,Afghanistan,3257
Alcohol Use Disorders,Albania,458
Alcohol Use Disorders,Algeria,2748
Alcohol Use Disorders,American Samoa,17
Alcohol Use Disorders,Andorra,30
Alcohol Use Disorders,Angola,4289
Alcohol Use Disorders,Antigua and Barbuda,138
Alcohol Use Disorders,Argentina,27147
Alcohol Use Disorders,Armenia,2592
Alcohol Use Disorders,Australia,13171
Alcohol Use Disorders,Austria,11262
Alcohol Use Disorders,Azerbaijan,6620
Alcohol Use Disorders,Bahamas,379
Alcohol Use Disorders,Bahrain,116
Alcohol Use Disorders,Bangladesh,7907
Alcohol Use Disorders,Barbados,173
Alcohol Use Disorders,Belarus,77811
Alcohol Use Disorders,Belgium,11944
Alcohol Use Disorders,Belize,175
Alcohol Use Disorders,Benin,1401
Alcohol Use Disorders,Bermuda,30
Alcohol Use Disorders,Bhutan,158
Alcohol Use Disorders,Bolivia,8816
Alcohol Use Disorders,Bosnia and Herzegovina,5464
Alcohol Use Disorders,Botswana,665
Alcohol Use Disorders,Brazil,225603
Alcohol Use Disorders,Brunei,31
Alcohol Use Disorders,Bulgaria,5238
Alcohol Use Disorders,Burkina Faso,2993
Alcohol Use Disorders,Burundi,1844
Alcohol Use Disorders,Cambodia,3476
Alcohol Use Disorders,Cameroon,3772
Alcohol Use Disorders,Canada,30411
Alcohol Use Disorders,Cape Verde,84
Alcohol Use Disorders,Central African Republic,1460
Alcohol Use Disorders,Chad,1857
Alcohol Use Disorders,Chile,13931
Alcohol Use Disorders,China,485796
Alcohol Use Disorders,Colombia,2896
Alcohol Use Disorders,Comoros,121
Alcohol Use Disorders,Congo,1175
Alcohol Use Disorders,Cook Islands,0
Alcohol Use Disorders,Costa Rica,1844
Alcohol Use Disorders,Cote d'Ivoire,4412
Alcohol Use Disorders,Croatia,7910
Alcohol Use Disorders,Cuba,10775
Alcohol Use Disorders,Cyprus,221
Alcohol Use Disorders,Czechia,10735
Alcohol Use Disorders,Democratic Republic of Congo,13783
Alcohol Use Disorders,Denmark,19898
Alcohol Use Disorders,Djibouti,191
Alcohol Use Disorders,Dominica,103
Alcohol Use Disorders,Dominican Republic,3018
Alcohol Use Disorders,Ecuador,12216
Alcohol Use Disorders,Egypt,3349
Alcohol Use Disorders,El Salvador,27028
Alcohol Use Disorders,Equatorial Guinea,151
Alcohol Use Disorders,Eritrea,1226
Alcohol Use Disorders,Estonia,8353
Alcohol Use Disorders,Eswatini,272
Alcohol Use Disorders,Ethiopia,17110
Alcohol Use Disorders,Fiji,48
Alcohol Use Disorders,Finland,17229
Alcohol Use Disorders,France,104759
Alcohol Use Disorders,Gabon,461
Alcohol Use Disorders,Gambia,278
Alcohol Use Disorders,Georgia,2080
Alcohol Use Disorders,Germany,180344
Alcohol Use Disorders,Ghana,4633
Alcohol Use Disorders,Greece,1085
