category,country,year,total_deaths,ratio
External Causes,Afghanistan,2019,42061,0.19325862314545514
External Causes,Albania,2019,572,0.025725208005396898
External Causes,Algeria,2019,14738,0.07664584709314723
External Causes,American Samoa,2019,16,0.044444444444444446
External Causes,Andorra,2019,16,0.027257240204429302
External Causes,Angola,2019,14054,0.08107765085958232
External Causes,Antigua and Barbuda,2019,21,0.03633217993079585
External Causes,Argentina,2019,15783,0.04682660242336494
External Causes,Armenia,2019,834,0.02982405950507796
External Causes,Australia,2019,5204,0.03234407532863047
External Causes,Austria,2019,2154,0.027043654032065687
External Causes,Azerbaijan,2019,2493,0.03283589952978676
External Causes,Bahamas,2019,265,0.10343481654957065
External Causes,Bahrain,2019,311,0.07656326932545544
External Causes,Bangladesh,2019,29880,0.03616894820747032
External Causes,Barbados,2019,94,0.03294777427269541
External Causes,Belarus,2019,6391,0.0529288512343992
External Causes,Belgium,2019,3554,0.03292508939986289
External Causes,Belize,2019,253,0.1329479768786127
External Causes,Benin,2019,4570,0.05537313251990161
External Causes,Bermuda,2019,14,0.025134649910233394
External Causes,Bhutan,2019,145,0.03625906476619155
External Causes,Bolivia,2019,4182,0.05711398213651635
External Causes,Bosnia and Herzegovina,2019,773,0.020773985487772106
External Causes,Botswana,2019,1707,0.08217002021757967
External Causes,Brazil,2019,131998,0.09859499996265285
External Causes,Brunei,2019,115,0.06508205998868138
External Causes,Bulgaria,2019,2385,0.01910828025477707
External Causes,Burkina Faso,2019,12057,0.0689109250421513
External Causes,Burundi,2019,3861,0.04801581873126811
External Causes,Cabo Verde,2019,265,0.07730455075845974
External Causes,Cambodia,2019,5531,0.04946784724085502
External Causes,Cameroon,2019,11961,0.06253430995812224
External Causes,Canada,2019,8582,0.031327227529412624
External Causes,Central African Rep.,2019,5044,0.07884083342451194
External Causes,Chad,2019,6662,0.047163933961997
External Causes,Chile,2019,5877,0.05285119470498836
External Causes,China,2019,483177,0.04626997151369286
External Causes,Colombia,2019,28440,0.12042580940202065
External Causes,Comoros,2019,314,0.06450287592440428
External Causes,Congo,2019,2451,0.07097558856745721
External Causes,Cook Islands,2019,7,0.04242424242424243
External Causes,Costa Rica,2019,1916,0.08084388185654008
External Causes,Cote d'Ivoire,2019,9222,0.05425535670161319
External Causes,Croatia,2019,1267,0.02480228643019341
External Causes,Cuba,2019,3840,0.037887383698558506
External Causes,Cyprus,2019,263,0.031983461023957195
External Causes,Czechia,2019,2776,0.02486096309364953
External Causes,Dem. Rep. Congo,2019,45004,0.08636959446362533
External Causes,Denmark,2019,1136,0.021345759972941993
External Causes,Djibouti,2019,427,0.05912489615065079
External Causes,Dominica,2019,31,0.044349070100143065
External Causes,Dominican Republic,2019,5854,0.08423385182094191
External Causes,Ecuador,2019,9253,0.10252063597584621
External Causes,Egypt,2019,36478,0.06027488706100854
External Causes,El Salvador,2019,5126,0.1283200240318422
External Causes,Equatorial Guinea,2019,455,0.06337930073826438
External Causes,Eritrea,2019,2975,0.06988161232735131
External Causes,Estonia,2019,503,0.031997455470737915
External Causes,Ethiopia,2019,29370,0.05530000771978317
External Causes,Fiji,2019,297,0.041492036881810565
